,svm_t,rf_t,lr_t,dnn_t,svm_ac,rf_ac,lr_ac,dnn_ac,svm_ubq,rf_ubq,lr_ubq,dnn_ubq,svm_st,rf_st,lr_st,dnn_st
physicochemical,0.5371739294018947,0.522409817138038,0.6251980982384426,0.7555555555555555,0.383164654936569,0.34595453768434276,0.3477678838975754,0.7948717948717948,0.3673764345391821,0.33157032320301905,0.3744656628091799,0.6898571428571428,0.3707500915062188,1.0,0.28389974584371214,0.294745121659612
AAC,0.5211511804917236,0.5213635455590859,0.49373921040737667,0.7679738562091505,0.361526480638093,0.36110149727418783,0.3219048323896724,0.6717948717948719,0.39780745032561604,0.42471420924124476,0.3831272024843188,0.7184285714285715,0.45789332520183884,1.0,0.34204188081368125,0.3743056648873401
DPC,0.6508505592978964,0.640062766463049,0.632013614001927,0.8137254901960784,0.343877353015746,0.2640407125495571,0.20220184042268627,0.7384615384615385,0.39289441871332886,0.3759773112415394,0.33865360868179295,0.7295714285714286,0.7479044991990005,1.0,0.9962626088403207,0.7455079448852717
TPC,0.5958271741702353,0.63330923575982,0.6622378363577577,0.6725490196078432,0.17760414087016366,0.19852746776754546,0.26053838319922995,0.8170940170940171,0.33474274046365216,0.2987806738439405,0.2694804313062947,0.7012857142857143,0.6436045860811985,1.0,1.0,0.7735031271003063
(A)PAAC,0.6028938456474079,0.565584338828993,0.35227356922059333,0.8019607843137255,0.40352791124627724,0.4073526550838623,0.324037830980998,0.7162393162393162,0.4062303738959298,0.42670414264827805,0.41921141878182616,0.7367142857142857,0.45789332520183884,1.0,0.34204188081368125,0.3165074859769078
CTD,0.4389326142526143,0.5300711091329486,0.26436414471807945,0.6516339869281046,0.17185722492639813,0.28344129255257977,0.18067151785651372,0.7692307692307692,0.31290611137689295,0.3347711953788589,0.30304480463980504,0.6695714285714287,0.16253704930867777,1.0,0.43841341592267735,0.17096248917676815
Seq_order,0.3677139828933921,0.5741847692052588,0.48891168904948046,0.6980392156862745,0.1006162032837016,0.3786784897861649,0.19075636471617072,0.6974358974358974,0.2539084303656822,0.4150752125586291,0.24898962561550353,0.6274285714285714,-0.010083387511659454,1.0,0.24445416042878243,0.06613183322787398
moran autocorre,0.6906926724402218,0.5005152600312879,0.5742204681661975,0.8254901960784313,0.27559165818520076,0.16630824755976348,0.14271146205959995,0.7589743589743589,0.0680666003535444,0.07421412778768802,0.07722225920704011,0.5431428571428571,0.6040053994230996,1.0,0.3853196549703879,0.33421947089745274
geary autocorr,0.6364701403039801,0.6470986899522131,0.737858225677846,0.8143790849673203,0.1571608127875626,0.18279374460502132,0.19519127511534534,0.770940170940171,0.09407760289008409,0.08441123888627491,0.09636493824218809,0.5594285714285714,0.5607898368128821,1.0,0.3755540394821147,0.060763294546079594
morbroto_autocorr,0.6478421286624125,0.6809691259622521,0.6637406090030658,0.8143790849673203,0.18287603275910277,0.22515402598585954,0.19296507468021967,0.7487179487179487,0.13835507781695702,0.1479822095481314,0.1314616942787958,0.561,0.21882303662792268,1.0,0.1322868306013461,0.11089267313899183
hot_encoded,0.716018890486944,0.6989224124807963,0.7406894042123348,0.8372549019607842,0.02266418054592213,0.09241813872577195,0.11836945653500013,0.8136752136752138,0.40345088761881154,0.4074313536558235,0.37189767764949877,0.6832857142857143,0.7205998837008998,1.0,1.0,0.7454028659226413
z_scales,0.685325457187791,0.6276193298444649,0.6711718762237439,0.8254901960784313,0.17453276037509477,0.13779558217921956,0.03065162865237887,0.8017094017094017,0.3319643259245916,0.3948098657147245,0.2679881168180793,0.65,0.7850136627547245,1.0,1.0,0.7330006053039236
blosum,0.7298207609383437,0.663365536537328,0.634342444753718,0.8261437908496732,0.1658401650603411,0.18261536643750692,0.12903678433428062,0.8017094017094017,0.3546436218198807,0.3415478276997271,0.3699829455653342,0.6609999999999999,0.8033122265625673,1.0,1.0,0.7158145849582368
